feature,importance
num__duration,0.5348764573307857
cat__proto_tcp,0.22960200365656783
cat__history_ShAdDaFf,0.06231100243055635
cat__conn_state_S0,0.05858022688084151
cat__history_Sr,0.02440908780651662
num__resp_ip_bytes,0.021281486635508044
cat__conn_state_REJ,0.019766958033562647
cat__conn_state_SF,0.009943349844766395
num__resp_bytes,0.006877682516431351
cat__proto_udp,0.006255810358871456
num__orig_ip_bytes,0.005636673234960217
num__id.resp_p,0.004430458244793325
cat__history_ShAfFa,0.0024198408759092526
num__orig_bytes,0.0021011420267488343
cat__history_F,0.0018532595704060218
num__orig_pkts,0.001017129231328155
cat__conn_state_RSTO,0.0009433792564253359
cat__history_S,0.0008796875527701856
cat__service_ssh,0.0008598618084778725
cat__history_ShAdDaR,0.000757633198093909
cat__service_ssl,0.0006294114004235084
cat__history_ShAdfFa,0.0005794835102763891
cat__service_irc,0.0005587432885196041
num__total_bytes,0.0004768008343704881
cat__history_ShADadFf,0.00042625444880113047
cat__conn_state_S2,0.0003630498452312792
cat__conn_state_RSTR,0.0003259933710918272
cat__history_ShADFr,0.0003043228094347541
cat__history_ShAdDaFR,0.00027949205969937587
cat__history_ShAdDaFr,0.000267745735975525
num__pkt_ratio,0.00022584207777121026
cat__history_ShAr,0.0002230819051810999
cat__history_ShADadfrr,0.00012561965270061195
cat__conn_state_S1,0.00011261741067391781
num__resp_pkts,0.00010605633077838442
num__bytes_per_second,9.058080246306344e-05
num__total_pkts,3.0255702336900464e-05
num__id.orig_p,1.5720400318702065e-05
num__byte_ratio,1.5471096420137697e-05
cat__conn_state_SH,1.4232730107289739e-05
cat__history_ShAdDaFrR,7.934355550127987e-06
cat__history_ShADadf,5.49922350182817e-06
cat__conn_state_S3,4.840919684600493e-06
cat__service_http,2.9268453242180197e-06
cat__history_ShAFf,2.5443261991851332e-06
cat__history_^r,1.1840311260835607e-06
num__resp_is_public,1.0095779221896896e-06
cat__history_ShADadfF,1.3138452621938813e-07
cat__history_ShADF,1.822885051880599e-08
cat__conn_state_SHR,5.2004188476438965e-09
num__orig_is_private,1.1555155558023921e-18
cat__history_DdA,0.0
cat__service_dns,0.0
cat__history_ShAdDaFRfR,0.0
cat__history_ShAdDaFRfRR,0.0
cat__history_ShAdDaFT,0.0
cat__history_ShAdDaFTf,0.0
cat__conn_state_OTH,0.0
cat__history_ShAdDaFfR,0.0
cat__history_ShAdDaFfRR,0.0
cat__history_ShAdDaFfr,0.0
cat__proto_icmp,0.0
cat__service_dhcp,0.0
cat__history_ShAdDaFRRfR,0.0
cat__history_ShAdDaTFRf,0.0
cat__history_ShAdDaTFf,0.0
cat__history_ShAdDafF,0.0
cat__history_ShAdDatFf,0.0
num__missed_bytes,0.0
cat__history_^aA,0.0
cat__history_^d,0.0
cat__history_ShAdDaFRf,0.0
cat__history_ShAdDaFRR,0.0
cat__history_ShAdDaFRRf,0.0
cat__history_SahAdDFRf,0.0
cat__history_Dd,0.0
cat__history_ShADFadfR,0.0
cat__history_ShADFfa,0.0
cat__history_DadA,0.0
cat__history_ShADa,0.0
cat__history_ShADaR,0.0
cat__history_ShADad,0.0
cat__history_D^,0.0
cat__history_DRr,0.0
cat__history_ShADadfFr,0.0
cat__history_ShADadfr,0.0
cat__history_D,0.0
cat__history_ShADadr,0.0
cat__history_ShADafF,0.0
cat__history_ShAa,0.0
cat__history_ShAaDdFf,0.0
cat__history_ShAadDFRf,0.0
cat__history_ShAadDFf,0.0
cat__history_ShAdDaF,0.0
cat__conn_state_RSTRH,0.0
cat__history_SahAdDFf,0.0
num__resp_is_private,-2.557617557756163e-18
