accuracy,precision,recall,f1_score,macro_f1,balanced_accuracy,pr_auc,mcc,false_positive_rate,tn,fp,fn,tp,split_id,model,train_rows,test_rows
0.9989197947610046,0.998003992015968,1.0,0.999000999000999,0.9989126100237211,0.998825601879037,0.9935429203817263,0.997827582295706,0.002348796241926013,5097,12,0,6000,0,logistic_regression,18032,11109
0.8223962552885048,0.7525398218989088,1.0,0.8587991125742503,0.8097512846073192,0.8069093756116656,0.9994701368000568,0.6796492137300068,0.38618124877666865,3136,1973,0,6000,0,random_forest,18032,11109
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5109,0,0,6000,0,extra_trees,18032,11109
0.8282473669997299,0.7587253414264037,1.0,0.8628127696289906,0.816604940771174,0.813270698766882,0.5957226921879688,0.6894728680387512,0.3734586024662361,3201,1908,0,6000,0,gradient_boosting,18032,11109
0.8386770428015564,0.747261050245561,0.989,0.8513019152141167,0.8375057071605918,0.8480036496350365,0.9040825989653687,0.7146618365872002,0.292992700729927,4843,2007,66,5934,1,logistic_regression,18032,12850
0.8349416342412451,0.7428929242329367,0.9886666666666667,0.848337504469074,0.8336437842447803,0.8444793187347932,0.9270471129838149,0.708655525363583,0.2997080291970803,4797,2053,68,5932,1,random_forest,18032,12850
0.9739299610894941,0.9566338868289538,0.989,0.9725477341637302,0.973863701859964,0.9748649635036497,0.9036013275688661,0.9482160546547618,0.03927007299270073,6581,269,66,5934,1,extra_trees,18032,12850
0.8228793774319066,0.7276840303252629,0.9918333333333333,0.8394696007899562,0.8209672253212061,0.8333619221411193,0.8334245761761656,0.691499591691287,0.3251094890510949,4623,2227,49,5951,1,gradient_boosting,18032,12850
0.6819340659340659,0.7377245508982035,0.616,0.6713896457765668,0.681606236857619,0.6857674418604651,0.7986955633962454,0.3736339995636219,0.24446511627906978,4061,1314,2304,3696,2,logistic_regression,18032,11375
0.9424175824175824,0.9419546882751778,0.9493333333333334,0.9456296173321159,0.9422159111606856,0.942015503875969,0.9247935393839979,0.884464213342212,0.06530232558139534,5024,351,304,5696,2,random_forest,18032,11375
0.9428571428571428,0.9420026437541309,0.9501666666666667,0.9460670428144706,0.942654011218415,0.9424321705426357,0.9413465174382442,0.8853476944270268,0.06530232558139534,5024,351,299,5701,2,extra_trees,18032,11375
0.9412747252747252,0.9392092257001647,0.9501666666666667,0.9446561723280862,0.9410546779243427,0.9407577519379845,0.9212835470278226,0.882181152109372,0.06865116279069768,5006,369,299,5701,2,gradient_boosting,18032,11375
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4787,0,0,6000,3,logistic_regression,18032,10787
0.8170946509687587,0.7525398218989088,1.0,0.8587991125742503,0.7996140017548268,0.7939210361395446,0.9999623323013416,0.6651124479195916,0.4121579277209108,2814,1973,0,6000,3,random_forest,18032,10787
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4787,0,0,6000,3,extra_trees,18032,10787
0.8231204227310651,0.7587253414264037,1.0,0.8628127696289906,0.8069607808489331,0.8007102569458951,0.6844964921735734,0.6755094260951446,0.39857948610820976,2879,1908,0,6000,3,gradient_boosting,18032,10787
0.9326164874551971,0.8838248436103664,0.989,0.9334591788579518,0.9326056784899633,0.9350034324942792,0.8715178235639464,0.871265226749805,0.11899313501144165,5775,780,66,5934,4,logistic_regression,18032,12555
0.9747510951812027,0.9591210211665859,0.9893333333333333,0.973992944458118,0.9747296198182549,0.9753684210526316,0.9305536603787622,0.9499018606091024,0.03859649122807018,6302,253,64,5936,4,random_forest,18032,12555
0.9717244125846276,0.9532680263369199,0.9893333333333333,0.9709658951500777,0.9717051008002193,0.9724698703279939,0.920467651448081,0.9440465713662174,0.044393592677345536,6264,291,64,5936,4,extra_trees,18032,12555
0.9755475906013541,0.9588908592616476,0.9913333333333333,0.9748422519052692,0.9755283545882587,0.9762158657513349,0.9098145436125273,0.9515677044756922,0.038901601830663615,6300,255,52,5948,4,gradient_boosting,18032,12555
